Phage,confidence
"Staphylococcus phage 29740-R20-P4, complete genome",0.0408
"Staphylococcus phage BP13, complete genome",0.0408
"Staphylococcus phage BP14, complete genome",0.0408
"Staphylococcus phage EAS1, complete genome",0.0408
"Staphylococcus phage EAS2, complete genome",0.0408
"Staphylococcus phage EFLK1_S, complete genome",0.0408
"Staphylococcus phage J1P1, complete genome",0.0408
"Staphylococcus phage J1P2, complete genome",0.0408
"Staphylococcus phage J1P3, complete genome",0.0408
"Staphylococcus phage J2-1P1, complete genome",0.0408
"Staphylococcus phage J2-1P2, complete genome",0.0408
"Staphylococcus phage KXI_01, complete genome",0.0408
"Staphylococcus phage LAC-R10-P2, complete genome",0.0408
"Staphylococcus phage PSARa, complete genome",0.0408
"Staphylococcus phage SA-Mt1, complete genome",0.0408
"Staphylococcus phage SA1298, complete genome",0.0408
"Staphylococcus phage SAP02, complete genome",0.0408
"Staphylococcus phage SAP15, complete genome",0.0408
"Staphylococcus phage SAP24, complete genome",0.0408
"Staphylococcus phage SapYZUs8, complete genome",0.0408
"Staphylococcus phage d191, complete genome",0.0408
"Staphylococcus phage pelagios, complete genome",0.0408
"Staphylococcus phage sv_nwjns1, complete genome",0.0408
"Staphylococcus phage vB_Sau-RP15-TrD7, complete genome",0.0408
"Staphylococcus phage vB_SauL_SHZU01, complete genome",0.0408
"Staphylococcus phage vB_SauM-MUHD-1, complete genome",0.0408
"Staphylococcus phage vB_SauM_HN02, complete genome",0.0408
"Staphylococcus phage vB_SauP_RLup11, complete genome",0.0408
"Staphylococcus phage vB_SauP_RLup12, complete genome",0.0408
"Staphylococcus phage vB_Sep_steph3, complete genome",0.0408
"Staphylococcus phage vB_Sep_steph4, complete genome",0.0408
"Staphylococcus phage vB_SeqP_SEP, complete genome",0.0408
"Stenotrophomonas phage ANB28, complete genome",0.0408
"Stenotrophomonas phage BCVI_Sma-b21phi, complete genome",0.0408
"Stenotrophomonas phage BCVI_Sma-b22phi, complete genome",0.0408
"Stenotrophomonas phage BCVI_Sma-b23phi, complete genome",0.0408
"Stenotrophomonas phage BCVI_Sma-b24phi, complete genome",0.0408
"Stenotrophomonas phage BUCT798, complete genome",0.0408
"Stenotrophomonas phage BUCT799, complete genome",0.0408
"Stenotrophomonas phage BUCTxx100, complete genome",0.0408
"Stenotrophomonas phage BUCTxx99, complete genome",0.0408
"Stenotrophomonas phage CM2, complete genome",0.0408
"Stenotrophomonas phage CP-p-PMA-23011, complete genome",0.0408
"Stenotrophomonas phage KB824, complete genome",0.0408
"Stenotrophomonas phage Passau, complete genome",0.0408
"Stenotrophomonas phage Pirna, complete genome",0.0408
"Stenotrophomonas phage Pokken, complete genome",0.0408
"Stenotrophomonas phage Potsdam, complete genome",0.0408
"Stenotrophomonas phage RAS14, complete genome",0.0408
"Stenotrophomonas phage S28phi1, complete genome",0.0408
"Stenotrophomonas phage S28phi2, complete genome",0.0408
"Stenotrophomonas phage S72, complete genome",0.0408
"Stenotrophomonas phage SB2, complete genome",0.0510
"Stenotrophomonas phage SB5, complete genome",0.0510
"Stenotrophomonas phage SBP1, complete genome",0.0408
"Stenotrophomonas phage SBP2phi1, complete genome",0.0408
"Stenotrophomonas phage SBP2phi2, complete genome",0.0408
"Stenotrophomonas phage SBP3.1phi1, complete genome",0.0408
"Stenotrophomonas phage SBP3.1phi2, complete genome",0.0408
"Stenotrophomonas phage SBP3.1phi2.1, complete genome",0.0408
"Stenotrophomonas phage SBP3.2phi1, complete genome",0.0408
"Stenotrophomonas phage SBP4phi1, complete genome",0.0408
"Stenotrophomonas phage SBP4phi2, complete genome",0.0408
"Stenotrophomonas phage SBP5phi1, complete genome",0.0408
"Stenotrophomonas phage SBP5phi2, complete genome",0.0408
"Stenotrophomonas phage SBP6phi1, complete genome",0.0408
"Stenotrophomonas phage SBP7phi1, complete genome",0.0408
"Stenotrophomonas phage SOVA965, complete genome",0.0510
"Stenotrophomonas phage Siegen, complete genome",0.0408
"Stenotrophomonas phage Silvanus, complete genome",0.0102
"Stenotrophomonas phage Solingen, complete genome",0.0408
"Stenotrophomonas phage StM171, complete genome",0.0408
"Stenotrophomonas phage StenM_174, complete genome",0.0408
"Stenotrophomonas phage StenR_269, complete genome",0.0408
"Stenotrophomonas phage Stm18, complete genome",0.0408
"Stenotrophomonas phage TPWB-10, complete genome",0.0408
"Stenotrophomonas phage YB07, complete genome",0.0408
"Stenotrophomonas phage Yut1, complete genome",0.0408
"Stenotrophomonas phage Yut2, complete genome",0.0408
"Stenotrophomonas phage Yut3, complete genome",0.0408
"Stenotrophomonas phage Yut4, complete genome",0.0408
"Stenotrophomonas phage c9-N, complete genome",0.0408
"Stenotrophomonas phage cm3, complete genome",0.0408
"Stenotrophomonas phage vB_SmaM_Bhz51, complete genome",0.0408
"Stenotrophomonas phage vB_SmaM_Ps15, complete genome",0.0408
"Stenotrophomonas phage vB_SmaM_QH202, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS-AXL_1, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_BCU1, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz54, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz55, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz58, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz59, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz60, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz63, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_QH1, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_QH16, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_QH3, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_YA1, complete genome",0.0408
"Stenotrophomonas phage vB_Sma_QH167, complete genome",0.0408
"Stenotrophomonas phage vB_Sma_QH17, complete genome",0.0408
"Stenotrophomonas phage vB_Sma_QH84, complete genome",0.0408
"Stenotrophomonas phage vB_Srh_LBjhp91a, complete genome",0.0408
"Streptomyces phage ZL12, complete genome",0.0408
"UNVERIFIED: Bacillus phage PHZU0001, complete genome",0.0408
"UNVERIFIED: Escherichia phage ECL1, complete genome",0.0408
"UNVERIFIED: Escherichia phage ETEC-S3, complete genome",0.0408
"UNVERIFIED: Escherichia phage pCABI-SEA001, complete genome",0.0408
"UNVERIFIED: Klebsiella phage EGYARMY-RLEUH01, complete genome",0.0408
"UNVERIFIED: Klebsiella phage vB_KpaM_pL, complete genome",0.0408
"UNVERIFIED: Mycobacterium phage U01, complete genome",0.0408
"UNVERIFIED: Mycobacterium phage U02, complete genome",0.0408
"UNVERIFIED: Mycobacterium phage U03, complete genome",0.0408
"UNVERIFIED: Mycobacterium phage U05, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage Ep007, complete genome",0.0102
"UNVERIFIED: Pseudomonas phage Ep017, complete genome",0.0102
"UNVERIFIED: Pseudomonas phage Ep020, complete genome",0.0102
"UNVERIFIED: Pseudomonas phage Ep022, complete genome",0.0102
"UNVERIFIED: Pseudomonas phage GX_PA_BBO1, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PA-319, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PA-575, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PA-711, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PA3Z1, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PAYQ66, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage ph9027, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage vB_pae_dh1, complete genome",0.0408
"UNVERIFIED: Pseudomonass phage ph1461, complete genome",0.0408
"UNVERIFIED: Salmonella phage H31, complete genome",0.0408
"UNVERIFIED: Salmonella phage KIT07, complete genome",0.0408
"UNVERIFIED: Salmonella phage VB-SalS-XND03, complete genome",0.0408
"UNVERIFIED: Staphylococcus phage NODE_1, complete genome",0.0408
"UNVERIFIED: Xanthomonas phage Ep026, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage Ep027, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage Ep028, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage Ep029, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage N1, complete genome",0.0204
"UNVERIFIED: Xanthomonas phage N3, complete genome",0.0204
"UNVERIFIED: Xanthomonas phage NUT11, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT13, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT20, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT29, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT3, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT30, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT4, complete genome",0.0102
"UNVERIFIED_ORG: Xanthomonas phage Xoo-sp15, complete genome",0.0204
"Vibrio phage SHOU24, complete genome",0.0102
"Vibrio phage VHML, complete genome",0.0408
"Wbetavirus gamma53 isolate 53, complete genome",0.0408
"Xanthomonas citri phage CP2 DNA, complete genome",0.0102
"Xanthomonas phage 10KY502B, complete genome",0.0102
"Xanthomonas phage AhaSv, complete genome",0.0204
"Xanthomonas phage Alcala, complete genome",0.0102
"Xanthomonas phage BUDD, complete genome",0.0102
"Xanthomonas phage Bolivar, complete genome",0.0102
"Xanthomonas phage BsXeu269p/3, complete genome",0.0102
"Xanthomonas phage CP1 DNA, complete genome",0.0102
"Xanthomonas phage Carill600, complete genome",0.0102
"Xanthomonas phage Carpasina, complete genome",0.0102
"Xanthomonas phage DES1, complete genome",0.0102
"Xanthomonas phage DMF5-T1, complete genome",0.0102
"Xanthomonas phage Elanor, complete genome",0.0102
"Xanthomonas phage F5, complete genome",0.0102
"Xanthomonas phage FMYAK-P1, complete genome",0.0102
"Xanthomonas phage FoX1, complete genome",0.0204
"Xanthomonas phage FoX2, complete genome",0.0204
"Xanthomonas phage FoX3, complete genome",0.0204
"Xanthomonas phage FoX4, complete genome",0.0204
"Xanthomonas phage FoX5, complete genome",0.0204
"Xanthomonas phage FoX6, complete genome",0.0204
"Xanthomonas phage FoX7, complete genome",0.0204
"Xanthomonas phage Fontebon, complete genome",0.0102
"Xanthomonas phage GF1, complete genome",0.0102
"Xanthomonas phage GF2, complete genome",0.0102
"Xanthomonas phage GJKY_A, complete genome",0.0102
"Xanthomonas phage HXX_Dennis, complete genome",0.0102
"Xanthomonas phage JGB6, complete genome",0.0102
"Xanthomonas phage Jill608, complete genome",0.0102
"Xanthomonas phage Juel629, complete genome",0.0102
"Xanthomonas phage KPhi1, complete genome",0.0102
"Xanthomonas phage Kintu, complete genome",0.0102
"Xanthomonas phage L13.2, complete genome",0.0102
"Xanthomonas phage L5.2, complete genome",0.0102
"Xanthomonas phage L522, complete genome",0.0204
"Xanthomonas phage Langgrundblatt1, complete genome",0.0102
"Xanthomonas phage Langgrundblatt2, complete genome",0.0102
"Xanthomonas phage Laurelin, complete genome",0.0102
"Xanthomonas phage M29, complete genome",0.0204
"Xanthomonas phage MET13-T1, complete genome",0.0102
"Xanthomonas phage MK21, complete genome",0.0102
"Xanthomonas phage MUD8-T1, complete genome",0.0102
"Xanthomonas phage MYK3, complete genome",0.0102
"Xanthomonas phage Mallos, complete genome",0.0102
"Xanthomonas phage Murka, complete genome",0.0204
"Xanthomonas phage NEB7, complete genome",0.0102
"Xanthomonas phage NED111, complete genome",0.0102
"Xanthomonas phage NP1, complete genome",0.0204
"Xanthomonas phage Olaya, complete genome",0.0102
"Xanthomonas phage P-XH, complete genome",0.0102
"Xanthomonas phage P4, complete genome",0.0102
"Xanthomonas phage PBR31, complete genome",0.0204
"Xanthomonas phage Pagan, complete genome",0.0102
"Xanthomonas phage Pfeifenkraut, complete genome",0.0102
"Xanthomonas phage PhiXhv-1, complete genome",0.0102
"Xanthomonas phage PhiXhv-12, complete genome",0.0102
"Xanthomonas phage PhiXhv-15, complete genome",0.0102
"Xanthomonas phage PhiXhv-16, complete genome",0.0102
"Xanthomonas phage PhiXhv-18, complete genome",0.0102
"Xanthomonas phage PhiXhv-2, complete genome",0.0102
"Xanthomonas phage PhiXhv-28, complete genome",0.0102
"Xanthomonas phage PhiXhv-5, complete genome",0.0102
"Xanthomonas phage PhiXhv-7, complete genome",0.0102
"Xanthomonas phage R3-22-T1, complete genome",0.0102
"Xanthomonas phage RTH11, complete genome",0.0102
"Xanthomonas phage RiverRider, complete genome",0.0102
"Xanthomonas phage S3, complete genome",0.0102
"Xanthomonas phage SAC, complete genome",0.0102
"Xanthomonas phage SB1, complete genome",0.0102
"Xanthomonas phage SB3, complete genome",0.0102
"Xanthomonas phage SB4, complete genome",0.0102
"Xanthomonas phage SU1, complete genome",0.0204
"Xanthomonas phage Samson, complete genome",0.0102
"Xanthomonas phage Soumapaz, complete genome",0.0102
"Xanthomonas phage Usaquen, complete genome",0.0102
"Xanthomonas phage Valrath, complete genome",0.0102
"Xanthomonas phage X1, complete genome",0.0204
"Xanthomonas phage X2, complete genome",0.0204
"Xanthomonas phage XAJ2, complete genome",0.0102
"Xanthomonas phage XAJ24, complete genome",0.0102
"Xanthomonas phage XAP-2, complete genome",0.0102
"Xanthomonas phage XAP3, complete genome",0.0102
"Xanthomonas phage XOPW, complete genome",0.0102
"Xanthomonas phage XPP1, complete genome",0.0204
"Xanthomonas phage XPP2, complete genome",0.0204
"Xanthomonas phage XPP3, complete genome",0.0204
"Xanthomonas phage XPP4, complete genome",0.0204
"Xanthomonas phage XPP6, complete genome",0.0204
"Xanthomonas phage XPP8, complete genome",0.0204
"Xanthomonas phage XPP9, complete genome",0.0204
"Xanthomonas phage XPV1, complete genome",0.0204
"Xanthomonas phage XPV2, complete genome",0.0204
"Xanthomonas phage XPV3, complete genome",0.0204
"Xanthomonas phage XaC1, complete genome",0.0102
"Xanthomonas phage Xaa_vB_phi31, complete genome",0.0102
"Xanthomonas phage XacN1 DNA, complete genome",0.0102
"Xanthomonas phage XapPhi1, complete genome",0.0102
"Xanthomonas phage XapPhi10, complete genome",0.0102
"Xanthomonas phage XapPhi11, complete genome",0.0102
"Xanthomonas phage XapPhi12, complete genome",0.0102
"Xanthomonas phage XapPhi13, complete genome",0.0102
"Xanthomonas phage XapPhi14, complete genome",0.0102
"Xanthomonas phage XapPhi15, complete genome",0.0102
"Xanthomonas phage XapPhi16, complete genome",0.0102
"Xanthomonas phage XapPhi17, complete genome",0.0102
"Xanthomonas phage XapPhi2, complete genome",0.0102
"Xanthomonas phage XapPhi3, complete genome",0.0102
"Xanthomonas phage XapPhi4, complete genome",0.0102
"Xanthomonas phage XapPhi5, complete genome",0.0102
"Xanthomonas phage XapPhi6, complete genome",0.0102
"Xanthomonas phage XapPhi7, complete genome",0.0102
"Xanthomonas phage XapPhi8, complete genome",0.0102
"Xanthomonas phage XapPhi9, complete genome",0.0102
"Xanthomonas phage XbC2, complete genome",0.0102
"Xanthomonas phage XcP1, complete genome",0.0204
"Xanthomonas phage Xoo-sp13, complete genome",0.0204
"Xanthomonas phage Xoo-sp14, complete genome",0.0204
"Xanthomonas phage Xoo-sp2, complete genome",0.0204
"Xanthomonas phage Xop411, complete genome",0.0102
"Xanthomonas phage Xp10, complete genome",0.0102
"Xanthomonas phage Xp12, complete genome",0.0102
"Xanthomonas phage Xp15, complete genome",0.0102
"Xanthomonas phage ZP3, complete genome",0.0204
"Xanthomonas phage f20-Xaj, complete genome",0.0102
"Xanthomonas phage f30-Xaj, complete genome",0.0102
"Xanthomonas phage fSU1, complete genome",0.0204
"Xanthomonas phage pXoo2106, complete genome",0.0204
"Xanthomonas phage pXoo2107, complete genome",0.0204
"Xanthomonas phage phi Xc10, complete genome",0.0102
"Xanthomonas phage phiL7, complete genome",0.0204
"Xanthomonas phage phiXF1, complete genome",0.0204
"Xanthomonas phage phiXacJX1, complete genome",0.0102
"Xanthomonas phage vB_XORNC02, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa1, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa10, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa11, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa2, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa3, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa4, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa5, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa6, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa7, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa8, complete genome",0.0102
"Xanthomonas phage vB_Xar_IVIA-DoCa9, complete genome",0.0102
"Xanthomonas phage vB_Xcc_GYRb1, complete genome",0.0204
"Xanthomonas phage vB_XciM_LucasX, complete genome",0.0102
"Xanthomonas phage vB_XeuM-YB23, complete genome",0.0102
"Xanthomonas phage vB_XooS_NR08, complete genome",0.0204
"Xanthomonas phage vB_Xoo_AQ1, complete genome",0.0204
"Xanthomonas phage vB_Xoo_CZ1, complete genome",0.0204
"Xanthomonas phage vB_Xoo_CZ2, complete genome",0.0204
"Xanthomonas phage vB_Xoo_FJ1, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GDJ1, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GDJ2, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GDJ3, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GX1, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GX2, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GX3, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GXB, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GXBLN, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GXJS, complete genome",0.0204
"Xanthomonas phage vB_Xoo_GXN, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JH1, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JL1LN, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JL4LN, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JL5LN, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JLGD, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JLH1, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JLP2, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JLP4, complete genome",0.0204
"Xanthomonas phage vB_Xoo_JLP5, complete genome",0.0204
"Xanthomonas phage vB_Xoo_NB1, complete genome",0.0204
"Xanthomonas phage vB_Xoo_NBW, complete genome",0.0204
"Xanthomonas phage vB_Xoo_QZ143, complete genome",0.0204
"Xanthomonas phage vB_Xoo_QZ531, complete genome",0.0204
"Xanthomonas phage vB_Xoo_QZ532, complete genome",0.0204
"Xanthomonas phage vB_Xoo_QZX, complete genome",0.0204
"Xanthomonas phage vB_Xoo_TZ1, complete genome",0.0204
"Xanthomonas phage vB_XveM_DIBBI, complete genome",0.0102
"Xanthomonas phage vXeeB-P10B, complete genome",0.0102
"Xanthomonas phage vXeeB-P14B, complete genome",0.0102
"Xanthomonas phage vXeeB-P4A, complete genome",0.0102
"Xanthomonas phage vXeeB-P8B, complete genome",0.0102
"Xanthomonas phage vXeeB-W18B, complete genome",0.0102
"Xanthomonas virus phiXaf18, complete genome",0.0102
"Xylella phage MATE2, complete genome",0.0408
"Xylella phage Patu, complete genome",0.0408
"Xylella phage Paz, complete genome",0.0510
"Xylella phage Pico, complete genome",0.0408
"Xylella phage Porto, complete genome",0.0408
"Xylella phage Prado, complete genome",0.0510
"Xylella phage Xfas53, complete genome",0.0408
"Xylella phage vB_Xf_IVIA-DoCa15, complete genome",0.0408
"Xylella phage vB_Xf_IVIA-DoCa18, complete genome",0.0408
"Xylella phage vB_Xf_IVIA-DoCa19, complete genome",0.0408
"Xylella phage vB_Xf_IVIA-DoCa21, complete genome",0.0408
