Phage,Accession,Host,Affinity,Source
"Xanthomonas phage Carill600, complete genome",PX408739.1,Xanthomonas euvesicatoria,1,NCBI: PX408739.1
"Xanthomonas phage Jill608, complete genome",PX408738.1,Xanthomonas euvesicatoria,1,NCBI: PX408738.1
"Xanthomonas phage Juel629, complete genome",PX408737.1,Xanthomonas euvesicatoria,1,NCBI: PX408737.1
"Xanthomonas phage vXeeB-W18B, complete genome",PZ019803.1,Xanthomonas euvesicatoria pv. euvesicatoria,1,NCBI: PZ019803.1
"Xanthomonas phage vXeeB-P14B, complete genome",PZ019802.1,Xanthomonas euvesicatoria pv. euvesicatoria,1,NCBI: PZ019802.1
"Xanthomonas phage vXeeB-P10B, complete genome",PZ019801.1,Xanthomonas euvesicatoria pv. euvesicatoria,1,NCBI: PZ019801.1
"Xanthomonas phage vXeeB-P8B, complete genome",PZ019800.1,Xanthomonas euvesicatoria pv. euvesicatoria,1,NCBI: PZ019800.1
"Xanthomonas phage vXeeB-P4A, complete genome",PZ019799.1,Xanthomonas euvesicatoria pv. euvesicatoria,1,NCBI: PZ019799.1
"Xanthomonas phage P-XH, complete genome",PX997083.1,Xanthomonas citri pv. citr strain XHCZG,1,NCBI: PX997083.1
"Xanthomonas phage vB_Xcc_GYRb1, complete genome",PQ569993.1,Xanthomonas campestris pv. campestris str. 8004,1,NCBI: PQ569993.1
"Xanthomonas phage XapPhi16, complete genome",PX630741.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630741.1
"Xanthomonas phage XapPhi17, complete genome",PX630740.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630740.1
"Xanthomonas phage XapPhi11, complete genome",PX630739.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630739.1
"Xanthomonas phage XapPhi12, complete genome",PX630738.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630738.1
"Xanthomonas phage XapPhi13, complete genome",PX630737.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630737.1
"Xanthomonas phage XapPhi14, complete genome",PX630736.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630736.1
"Xanthomonas phage XapPhi10, complete genome",PX630735.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630735.1
"Xanthomonas phage XapPhi15, complete genome",PX630734.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630734.1
"Xanthomonas phage XapPhi9, complete genome",PX630733.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630733.1
"Xanthomonas phage XapPhi8, complete genome",PX630732.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630732.1
"Xanthomonas phage XapPhi7, complete genome",PX630731.1,Xanthomonas arboricola pv. pruni,1,NCBI: PX630731.1
"Xanthomonas phage vB_Xoo_GXJS, complete genome",PX682330.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682330.1
"Xanthomonas phage vB_Xoo_GXBLN, complete genome",PX682329.1,Xanthomonas oryzae pv. oryzae LN4,1,NCBI: PX682329.1
"Xanthomonas phage vB_Xoo_QZX, complete genome",PX682328.1,Xanthomonas oryzae pv. oryzae N1,1,NCBI: PX682328.1
"Xanthomonas phage vB_Xoo_JLP2, complete genome",PX682327.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682327.1
"Xanthomonas phage vB_Xoo_TZ1, complete genome",PX682324.1,Xanthomonas oryzae pv. oryzae N1,1,NCBI: PX682324.1
"Xanthomonas phage vB_Xoo_GXB, complete genome",PX682323.1,Xanthomonas oryzae pv. oryzae GXB1-2,1,NCBI: PX682323.1
"Xanthomonas phage vB_Xoo_QZ531, complete genome",PX682322.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682322.1
"Xanthomonas phage vB_Xoo_NB1, complete genome",PX682321.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682321.1
"Xanthomonas phage vB_Xoo_JLP5, complete genome",PX682320.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682320.1
"Xanthomonas phage vB_Xoo_JLP4, complete genome",PX682319.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682319.1
"Xanthomonas phage vB_Xoo_JLH1, complete genome",PX682318.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682318.1
"Xanthomonas phage vB_Xoo_JLGD, complete genome",PX682317.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682317.1
"Xanthomonas phage vB_Xoo_JL5LN, complete genome",PX682316.1,Xanthomonas oryzae pv. oryzae LN4,1,NCBI: PX682316.1
"Xanthomonas phage vB_Xoo_JL4LN, complete genome",PX682315.1,Xanthomonas oryzae pv. oryzae LN4,1,NCBI: PX682315.1
"Xanthomonas phage vB_Xoo_GXN, complete genome",PX682314.1,Xanthomonas oryzae pv. oryzae GXB1-2,1,NCBI: PX682314.1
"Xanthomonas phage vB_Xoo_GX3, complete genome",PX682313.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682313.1
"Xanthomonas phage vB_Xoo_GX2, complete genome",PX682312.1,Xanthomonas oryzae pv. oryzae GX2-3,1,NCBI: PX682312.1
"Xanthomonas phage vB_Xoo_GX1, complete genome",PX682311.1,Xanthomonas oryzae pv. oryzae GXB1-2,1,NCBI: PX682311.1
"Xanthomonas phage vB_Xoo_GDJ1, complete genome",PX682310.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682310.1
"Xanthomonas phage vB_Xoo_GDJ2, complete genome",PX682309.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682309.1
"Xanthomonas phage vB_Xoo_FJ1, complete genome",PX682308.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682308.1
"Xanthomonas phage vB_Xoo_CZ2, complete genome",PX682307.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682307.1
"Xanthomonas phage vB_Xoo_CZ1, complete genome",PX682306.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682306.1
"Xanthomonas phage vB_Xoo_AQ1, complete genome",PX682305.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682305.1
"Xanthomonas phage vB_Xoo_QZ532, complete genome",PX682304.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682304.1
"Xanthomonas phage vB_Xoo_QZ143, complete genome",PX682303.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682303.1
"Xanthomonas phage vB_Xoo_NBW, complete genome",PX682302.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682302.1
"Xanthomonas phage vB_Xoo_JL1LN, complete genome",PX682301.1,Xanthomonas oryzae pv. oryzae LN4,1,NCBI: PX682301.1
"Xanthomonas phage vB_Xoo_JH1, complete genome",PX682300.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682300.1
"Xanthomonas phage vB_Xoo_GDJ3, complete genome",PX682299.1,Xanthomonas oryzae pv. oryzae,1,NCBI: PX682299.1
"Xanthomonas phage L5.2, complete genome",PX444441.1,Xanthomonas sp. XC263,1,NCBI: PX444441.1
"Xanthomonas phage ZP3, complete genome",OP413789.1,Xanthomonas oryzae pv. oryzae,1,NCBI: OP413789.1
"Xanthomonas phage XOPW, complete genome",PX530551.1,Xanthomoans oryzea,1,NCBI: PX530551.1
"Xanthomonas phage GJKY_A, complete genome",PX310626.1,Xanthomonas citri 3213,1,NCBI: PX310626.1
"Xanthomonas phage XAJ2, complete genome",NC_128954.1,Xanthomonas arboricola pv. juglandis,1,NCBI: NC_128954.1
"Xanthomonas phage XAP-2, complete genome",PP431385.1,Xanthomonas citri,1,NCBI: PP431385.1
"Xanthomonas phage PhiXhv-16, complete genome",PV764603.1,Xanthomonas hortorum pv. vitians CFBP8640,1,NCBI: PV764603.1
"Xanthomonas phage PhiXhv-15, complete genome",PV764602.1,Xanthomonas hortorum pv. vitians CFBP8640,1,NCBI: PV764602.1
"Xanthomonas phage PhiXhv-12, complete genome",PV764601.1,Xanthomonas hortorum pv. vitians CFBP8640,1,NCBI: PV764601.1
"Xanthomonas phage PhiXhv-18, complete genome",PV764600.1,Xanthomonas hortorum pv. vitians CFBP8643,1,NCBI: PV764600.1
"Xanthomonas phage PhiXhv-7, complete genome",PV764599.1,Xanthomonas hortorum pv. vitians CFBP8641,1,NCBI: PV764599.1
"Xanthomonas phage PhiXhv-5, complete genome",PV764598.1,Xanthomonas hortorum pv. vitians CFBP8639,1,NCBI: PV764598.1
"Xanthomonas phage Valrath, complete genome",PV037726.1,Xanthomonas campestris,1,NCBI: PV037726.1
"Xanthomonas phage PhiXhv-28, complete genome",PV754127.1,Xanthomonas hortorum pv. vitians AB16734deltaLPS3,1,NCBI: PV754127.1
"Xanthomonas phage PhiXhv-2, complete genome",PV702347.1,Xanthomonas hortorum pv. vitians CFBP8642,1,NCBI: PV702347.1
"Xanthomonas phage vB_XORNC02, complete genome",PV506377.1,Xanthomonas oryzae PX079 (Phillipine race 3),1,NCBI: PV506377.1
"Xanthomonas phage PhiXhv-1, complete genome",PV408261.1,Xanthomonas hortorum pv. vitians CFBP8638 (=LM16734),1,NCBI: PV408261.1
"Klebsiella phage KA2-1, complete genome",PQ571296.1,Klebsiella aerogenes MAO-MM-7,1,NCBI: PQ571296.1
"Bacteroides phage BS-TP3, complete genome",PQ571276.1,Bacteroides salyersiae BG8,1,NCBI: PQ571276.1
"Bacteroides phage BS-TP2, complete genome",PQ571275.1,Bacteroides salyersiae BG8,1,NCBI: PQ571275.1
"Xanthomonas phage phiXF1, complete genome",PP475461.1,Xanthomonas campestris pv. campestris CECT 97,1,NCBI: PP475461.1
"Xanthomonas phage XapPhi6, complete genome",PP391664.1,Xanthomonas arboricola pv. pruni strain Xcp1,1,NCBI: PP391664.1
"Xanthomonas phage XapPhi5, complete genome",PP391663.1,Xanthomonas arboricola pv. pruni strain Xcp1,1,NCBI: PP391663.1
"Xanthomonas phage XapPhi4, complete genome",PP391662.1,Xanthomonas arboricola pv. pruni strain Xcp1,1,NCBI: PP391662.1
"Xanthomonas phage XapPhi3, complete genome",PP391661.1,Xanthomonas arboricola pv. pruni strain Xcp1,1,NCBI: PP391661.1
"Xanthomonas phage XapPhi2, complete genome",PP391660.1,Xanthomonas arboricola pv. pruni strain Xcp1,1,NCBI: PP391660.1
"Xanthomonas phage XapPhi1, complete genome",PP391659.1,Xanthomonas arboricola pv. pruni strain Xcp1,1,NCBI: PP391659.1
"Xanthomonas phage SAC, complete genome",PV012638.1,Xanthomonas citri,1,NCBI: PV012638.1
"Xanthomonas phage phiXacJX1, complete genome",PQ476032.1,Xanthomonas citri pv. citri,1,NCBI: PQ476032.1
"UNVERIFIED: Xanthomonas phage NUT30, complete genome",OQ446487.1,Xanthomonas arboricola,1,NCBI: OQ446487.1
"UNVERIFIED: Xanthomonas phage NUT20, complete genome",OQ446486.1,Xanthomonas arboricola,1,NCBI: OQ446486.1
"UNVERIFIED: Xanthomonas phage NUT4, complete genome",OQ446484.1,Xanthomonas arboricola,1,NCBI: OQ446484.1
"UNVERIFIED: Xanthomonas phage NUT3, complete genome",OQ446483.1,Xanthomonas arboricola,1,NCBI: OQ446483.1
"Xanthomonas phage L13.2, complete genome",PQ093899.1,Xanthomonas campestris,1,NCBI: PQ093899.1
"Xanthomonas phage fSU1, complete genome",PQ067315.1,Xanthomonas campestris pv. campestris SU1,1,NCBI: PQ067315.1
"Xanthomonas phage MK21, complete genome",PP780467.1,Xanthomonas citri XCC27-12,1,NCBI: PP780467.1
"UNVERIFIED: Xanthomonas phage NUT29, complete genome",OQ446488.1,Xanthomonas arboricola,1,NCBI: OQ446488.1
"UNVERIFIED: Xanthomonas phage NUT11, complete genome",OQ446485.1,Xanthomonas arboricola,1,NCBI: OQ446485.1
"UNVERIFIED: Xanthomonas phage NUT13, complete genome",OQ435241.1,Xanthomonas arboricola,1,NCBI: OQ435241.1
"Pseudomonas phage Orisa01, complete genome",PP179329.1,Pseudomonas syringae 7C,1,NCBI: PP179329.1
"Pseudomonas phage Orisa02, complete genome",PP179328.1,Pseudomonas syringae 7C,1,NCBI: PP179328.1
"Pseudomonas phage Orisa03, complete genome",PP179327.1,Pseudomonas syringae 7C,1,NCBI: PP179327.1
"Pseudomonas phage Touem01, complete genome",PP179325.1,Pseudomonas syringae 7C,1,NCBI: PP179325.1
"Pseudomonas phage Nican01, complete genome",PP179318.1,Pseudomonas syringae CC0094,1,NCBI: PP179318.1
"Xanthomonas phage vB_XeuM-YB23, complete genome",PP756300.1,Xanthomonas euvesicatoria KACC 18468,1,NCBI: PP756300.1
"Dickeya phage BIM BV-99, complete genome",PP566124.1,Dickeya dadantii BIM B-921,1,NCBI: PP566124.1
"UNVERIFIED: Xanthomonas phage Ep029, complete genome",OQ603356.1,Xanthomonas sp. SH48,1,NCBI: OQ603356.1
"UNVERIFIED: Xanthomonas phage Ep028, complete genome",OQ603355.1,Xanthomonas sp. SH47,1,NCBI: OQ603355.1
"UNVERIFIED: Xanthomonas phage Ep027, complete genome",OQ603354.1,Xanthomonas sp. SH23,1,NCBI: OQ603354.1
"UNVERIFIED: Xanthomonas phage Ep026, complete genome",OQ603353.1,Xanthomonas sp. Q,1,NCBI: OQ603353.1
"UNVERIFIED: Pseudomonas phage Ep022, complete genome",OQ603352.1,Pseudomonas sp. SH2,1,NCBI: OQ603352.1
"UNVERIFIED: Pseudomonas phage Ep020, complete genome",OQ603351.1,Pseudomonas sp. AY2,1,NCBI: OQ603351.1
"UNVERIFIED: Pseudomonas phage Ep017, complete genome",OQ603350.1,Pseudomonas sp. KB1,1,NCBI: OQ603350.1
"UNVERIFIED: Pseudomonas phage Ep007, complete genome",OQ603349.1,Pseudomonas sp. F,1,NCBI: OQ603349.1
"Stenotrophomonas phage SOVA965, complete genome",PP079418.1,Stenotrophomonas maltophilia 1640,1,NCBI: PP079418.1
"Stenotrophomonas phage SB5, complete genome",PP079417.1,Stenotrophomonas maltophilia 1640,1,NCBI: PP079417.1
"Stenotrophomonas phage SB2, complete genome",PP079416.1,Stenotrophomonas maltophilia 1640,1,NCBI: PP079416.1
"Xanthomonas phage SB4, complete genome",PP079415.1,Xanthomonas euvesicatoria 1940,1,NCBI: PP079415.1
"Xanthomonas phage SB3, complete genome",PP079414.1,Xanthomonas euvesicatoria 1940,1,NCBI: PP079414.1
"Xanthomonas phage SB1, complete genome",PP079413.1,Xanthomonas euvesicatoria 1940,1,NCBI: PP079413.1
"Xanthomonas phage Kintu, complete genome",PP313117.1,Xanthomonas vasicola pv. musacearum Xvm9-7,1,NCBI: PP313117.1
"Xanthomonas phage SU1, complete genome",OR842880.1,Xanthomonas campestris pv. campestris,1,NCBI: OR842880.1
"Pseudomonas phage Athelas, complete genome",OR997970.1,Pseudomonas sp.,1,NCBI: OR997970.1
"Agrobacterium phage Alfirin, complete genome",OR997969.1,Agrobacterium sp.,1,NCBI: OR997969.1
"Xanthomonas phage AhaSv, complete genome",OR820514.1,Xanthomonas campestris pv. campestris str. 8004,1,NCBI: OR820514.1
"Xanthomonas phage vB_XooS_NR08, complete genome",OQ055246.1,Xanthomonas oryzae pv. oryzae,1,NCBI: OQ055246.1
"Xanthomonas phage NP1, complete genome",OR966858.1,Xanthomonas oryzae pv. oryzae,1,NCBI: OR966858.1
"Salmonella phage vB_SenM-AKM_CE, complete genome",OR122686.1,Salmonella sp.,1,NCBI: OR122686.1
"Xanthomonas phage NED111, complete genome",OP548052.1,Xanthomonas euvesicatoria,1,NCBI: OP548052.1
"Xanthomonas phage XAP3, complete genome",OQ756160.1,Xanthomonas citri,1,NCBI: OQ756160.1
"Xanthomonas phage Murka, complete genome",OR500351.1,Xanthomonas campestris pv. campestris Tir-1,1,NCBI: OR500351.1
"Xanthomonas phage XaC1, complete genome",OR258281.1,Xanthomonas vesicatoria,1,NCBI: OR258281.1
"Xanthomonas phage RTH11, complete genome",OQ790161.1,Xanthomonas sp.,1,NCBI: OQ790161.1
"Xanthomonas phage NEB7, complete genome",OQ676962.1,Xanthomonas sp.,1,NCBI: OQ676962.1
"Xanthomonas phage 10KY502B, complete genome",OQ622092.1,Xanthomonas citri,1,NCBI: OQ622092.1
"Salmonella phage LP31, complete genome",NC_073205.1,Salmonella enterica subsp. enterica serovar Pullorum C79-13,1,NCBI: NC_073205.1
"Xanthomonas phage Pfeifenkraut, complete genome",NC_073095.1,Xanthomonas translucens pv. translucens (DSM 18974),1,NCBI: NC_073095.1
"Xanthomonas phage Langgrundblatt2, complete genome",NC_073094.1,Xanthomonas translucens pv. translucens (DSM 18974),1,NCBI: NC_073094.1
"Xanthomonas phage Langgrundblatt1, complete genome",NC_073093.1,Xanthomonas translucens pv. translucens (DSM 18974),1,NCBI: NC_073093.1
"Xanthomonas phage vB_Xar_IVIA-DoCa10, complete genome",NC_073036.1,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,NCBI: NC_073036.1
"Xanthomonas phage vB_Xar_IVIA-DoCa6, complete genome",NC_073035.1,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,NCBI: NC_073035.1
"Xanthomonas phage Xp12, complete genome",NC_073033.1,Xanthomonas oryzae,1,NCBI: NC_073033.1
"Xanthomonas phage FMYAK-P1, complete genome",NC_073032.1,Xanthomonas sp.,1,NCBI: NC_073032.1
"Xanthomonas phage Mallos, complete genome",NC_073030.1,Xanthomonas translucens pv. translucens (DSM 18974),1,NCBI: NC_073030.1
"Xanthomonas phage Elanor, complete genome",NC_073029.1,Xanthomonas translucens pv. translucens (DSM 18974),1,NCBI: NC_073029.1
"Xanthomonas phage vB_Xar_IVIA-DoCa5, complete genome",NC_073026.1,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,NCBI: NC_073026.1
"Xanthomonas phage JGB6, complete genome",OQ436456.1,Xanthomonas sp.,1,NCBI: OQ436456.1
"Xanthomonas phage vB_Xar_IVIA-DoCa3, complete genome",NC_072499.1,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,NCBI: NC_072499.1
"Xanthomonas phage X1, complete genome",OQ427096.1,Xanthomonas campestris pv. campestris str. 8004,1,NCBI: OQ427096.1
"Xanthomonas phage pXoo2106, complete genome",ON960072.2,Xanthomonas oryzae pv. oryzae,1,NCBI: ON960072.2
"Xanthomonas phage vB_Xar_IVIA-DoCa1, complete genome",NC_069745.1,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,NCBI: NC_069745.1
"Xanthomonas phage Samson, complete genome",NC_069744.1,Xanthomonas sp.,1,NCBI: NC_069744.1
"Xanthomonas phage Laurelin, complete genome",ON189046.1,Xanthomonas translucens pv. translucens (DSM 18974),1,NCBI: ON189046.1
"Xanthomonas phage X2, complete genome",MW435566.1,Xanthomonas oryzae pv. oryzae,1,NCBI: MW435566.1
"Xanthomonas phage L522, complete genome",OP948730.1,Xanthomonas oryzae pv. oryzae LA1+,1,NCBI: OP948730.1
"Xanthomonas phage FoX4, complete genome",NC_055839.1,Xanthomonas campestris pv. campestris GBBC 1412,1,NCBI: NC_055839.1
"Xanthomonas phage FoX5, complete genome",NC_055838.1,Xanthomonas campestris pv. campestris GBBC 1419,1,NCBI: NC_055838.1
"Xanthomonas phage FoX3, complete genome",NC_055837.1,Xanthomonas campestris pv. campestris GBBC 1419,1,NCBI: NC_055837.1
"Xanthomonas phage FoX2, complete genome",NC_055836.1,Xanthomonas campestris pv. campestris GBBC 1419,1,NCBI: NC_055836.1
"Xanthomonas phage FoX1, complete genome",NC_055835.1,Xanthomonas campestris pv. campestris GBBC 1419,1,NCBI: NC_055835.1
"Xanthomonas virus phiXaf18, complete genome",NC_054461.1,Xanthomonas vesicatoria,1,NCBI: NC_054461.1
"Xanthomonas phage XcP1, complete genome",NC_048147.1,Xanthomonas campestris pv. campestris,1,NCBI: NC_048147.1
"Campylobacter phage vB_CcoM-IBB_35 clone Contig1, complete genome",NC_027989.1,Unknown,,NCBI: NC_027989.1
"Xanthomonas phage CP1 DNA, complete genome",NC_019933.2,Xanthomonas citri,1,NCBI: NC_019933.2
"Campylobacter phage NCTC12673, complete genome",NC_015464.1,Campylobacter jejuni,1,NCBI: NC_015464.1
"Xanthomonas phage Xop411, complete genome",NC_009543.1,Xanthomonas oryzae,1,NCBI: NC_009543.1
"Xanthomonas oryzae phage OP1 DNA, complete genome",NC_007709.1,Unknown,,NCBI: NC_007709.1
"Xanthomonas phage Xp10, complete genome",NC_004902.1,Xanthomonas oryzae,1,NCBI: NC_004902.1
"Serratia phage Tsm2, complete genome",NC_069155.1,Serratia marcescens IMBG291,1,NCBI: NC_069155.1
"Xanthomonas phage XPV1, complete genome",NC_054459.1,Xanthomonas oryzae pv. oryzae,1,NCBI: NC_054459.1
"Xanthomonas phage XPP1, complete genome",NC_054458.1,Xanthomonas oryzae pv. oryzae,1,NCBI: NC_054458.1
"Pantoea phage vB_PagM_LIET2, complete genome",NC_048751.1,Pantoea agglomerans BSL,1,NCBI: NC_048751.1
